"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13" "V14" "V15" "V16" "V17" "V18" "V19"
"158" "1" "4" "1" "1" "999" "2" "5" "2" "1" "4" "4" "2" "6" "1" "1" "2" "1" "1" "1"
"159" "0" "5" "1" "1" "999" "2" "999" "999" "2" "4" "6" "2" "2" "2" "0" "2" "4" "4" "4"
"160" "1" "1" "1" "3" "1" "2" "1" "1" "1" "1" "3" "2" "2" "2" "0" "2" "3" "3" "3"
"161" "1" "1" "1" "1" "999" "1" "5" "1" "1" "4" "6" "2" "3" "2" "0" "2" "4" "4" "4"
"162" "1" "5" "1" "3" "2" "2" "5" "0" "999" "2" "6" "2" "1" "2" "0" "2" "2" "3" "3"
"163" "0" "5" "1" "4" "2" "2" "1" "1" "999" "2" "3" "2" "1" "1" "0" "2" "1" "2" "1"
"164" "0" "2" "1" "1" "999" "2" "5" "1" "2" "2" "6" "2" "3" "2" "0" "2" "4" "4" "4"
"165" "0" "2" "1" "1" "999" "2" "1" "1" "0" "3" "1" "1" "4" "1" "0" "2" "1" "1" "1"
"166" "0" "5" "1" "4" "2" "2" "1" "999" "0" "2" "3" "2" "1" "1" "0" "2" "999" "2" "1"
"167" "0" "5" "1" "3" "2" "2" "5" "0" "999" "2" "6" "2" "1" "2" "0" "2" "3" "4" "3"
"168" "0" "1" "1" "1" "999" "2" "1" "1" "1" "2" "3" "2" "1" "1" "0" "2" "1" "2" "1"
"169" "0" "4" "1" "1" "999" "2" "5" "2" "2" "4" "6" "2" "5" "2" "0" "2" "4" "2" "4"
"170" "1" "5" "1" "4" "2" "2" "1" "999" "1" "2" "3" "2" "1" "2" "0" "2" "4" "4" "4"
"171" "0" "2" "1" "2" "999" "2" "999" "1" "2" "3" "1" "1" "3" "2" "0" "2" "3" "3" "3"
"172" "1" "1" "1" "4" "1" "2" "1" "0" "999" "4" "4" "2" "5" "1" "1" "2" "1" "1" "1"
